Country,City,Operator Name,He Photon And Electron Beam Rt,Proton Ion Therapy,XRay Generator,Brachy Therapy Inc El,Last Update,Latitude,Longitude
Australia,Cleveland,ICON Cancer Centre RedlandsRadiation Oncology Centres Redland,1,0,0,0,2020.0,-27.5252337,153.2790934
Australia,Coffs Harbour,"North Coast Cancer Institute, Coffs Harbour",2,0,0,0,2020.0,-30.3182945,153.0965576
Australia,Concord West,Genesis Cancer Care Concord,1,0,0,0,2020.0,-33.8397028,151.0882021
Australia,Darlinghurst,"St Vincent’s Hospital - Radiation Oncology, Darlinghurst",2,0,1,1,2020.0,-33.8802174,151.2208943
Australia,Darlinghurst,Genesis Cancer Care St Vincents Clinic,3,0,0,0,2020.0,-33.8317609,151.2018824
Australia,East Albury,Genesis Care Radiation Oncology Centre Albury Wodonga,2,0,0,0,2020.0,-36.0772229,146.9385231
Australia,East Bentleigh,Peter MacCallum Cancer Centre - Moorabbin,3,0,1,0,2020.0,-37.9208177,145.0631279
Australia,East Melbourne,ICON Cancer Centre Freemasons,1,0,0,0,2020.0,-37.8114009,144.9841382
Australia,Elizabeth Vale,Genesis Cancer Care Elizabeth Vale,3,0,0,0,2020.0,-34.7465992,138.6664426
Australia,Elizabeth Vale,Calvary District Hospital,1,0,0,0,2018.0,-34.7554192,138.6562959
Australia,Epping,"Radiation Oncology Victoria (ROV), Epping Radiation Oncology Centre",2,0,0,0,2020.0,-37.6376748,145.026475
Australia,Fitzroy,Genesis Cancer Care - St. Vincent's Hospital Melbourne,2,0,0,0,2020.0,-37.8070382,144.9749751
Australia,Footscray,Genesis Cancer Care Footscray,1,0,0,0,2020.0,-37.7988987,144.892357
Australia,Frankston,Genesis Cancer Care Frankston,2,0,0,0,2020.0,-38.1419234,145.1293848
Australia,Frenchs Forest,Northern Beaches Cancer Centre,1,0,0,0,2020.0,-33.7512632,151.2440201
Australia,Garran,The Canberra Hospital Radiation Oncology,5,0,0,0,2020.0,-35.3463805,149.101199
Australia,Garran,ICON Cancer Centre Canberra,1,0,0,0,2020.0,-35.2367247,149.0865059
Australia,Gateshead,Genesis Cancer Care Newcastle,2,0,0,0,2020.0,-32.989296,151.6956677
Australia,Geelong,Andrew Love Cancer Centre,2,0,0,0,2020.0,-38.1517322,144.3665484
Australia,Geelong,Barwon Health- Radiation Oncology Centre Geelong,2,0,1,1,2020.0,-38.1492994,144.3598426
Australia,Gosford,Central Coast Cancer Centre - Gosford,2,0,0,0,2020.0,-33.421059,151.3401391
Australia,Gosford,"ICON Cancer Centre GosfordCentral Coast Regional Cancer Centre, Gosford Hospital",2,0,0,0,2020.0,-33.426667,151.341667
Australia,Greensfields,Genesis Care Mandurah,1,0,0,0,2020.0,-32.5301578,115.7652394
Australia,Greenslopes,ICON Cancer Centres GreenslopesRadiation Oncology Centres Greenslopes,1,0,0,0,2020.0,-27.5124981,153.0465214
Australia,Hobart,WP Holman Hobart,2,0,0,0,2020.0,-42.8804404,147.3292559
Australia,Hobart,ICON Cancer Centre Hobart,1,0,0,0,2020.0,-42.8780286,147.3283133
Australia,Hurstville,Genesis  Cancer Care Hurstville,2,0,0,0,2020.0,-33.9645633,151.1010187
Australia,Joondalup,Genesis Cancer Care Shenton House,2,0,0,0,2020.0,-31.7406571,115.7706538
